LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,92,
IRL,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,92,
ITA,CHILDVACCIN,DTP,PC_CHILD,A,2015,93,
ITA,CHILDVACCIN,DTP,PC_CHILD,A,2016,93,E
ITA,CHILDVACCIN,DTP,PC_CHILD,A,2017,94,
ITA,CHILDVACCIN,DTP,PC_CHILD,A,2018,95,
ITA,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,85,
ITA,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,85,E
ITA,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,92,
ITA,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,93,
JPN,CHILDVACCIN,DTP,PC_CHILD,A,2015,96,
JPN,CHILDVACCIN,DTP,PC_CHILD,A,2016,99,
JPN,CHILDVACCIN,DTP,PC_CHILD,A,2017,99,
JPN,CHILDVACCIN,DTP,PC_CHILD,A,2018,99,
JPN,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,
JPN,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,96,
JPN,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,99,
JPN,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,97,
KOR,CHILDVACCIN,DTP,PC_CHILD,A,2015,98,
KOR,CHILDVACCIN,DTP,PC_CHILD,A,2016,98,
KOR,CHILDVACCIN,DTP,PC_CHILD,A,2017,97,
KOR,CHILDVACCIN,DTP,PC_CHILD,A,2018,98,
KOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,98,
KOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,98,
KOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
KOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,98,
LUX,CHILDVACCIN,DTP,PC_CHILD,A,2015,99,
LUX,CHILDVACCIN,DTP,PC_CHILD,A,2016,99,
LUX,CHILDVACCIN,DTP,PC_CHILD,A,2017,99,
LUX,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,99,
LUX,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,99,
LUX,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,99,
MEX,CHILDVACCIN,DTP,PC_CHILD,A,2015,87,
MEX,CHILDVACCIN,DTP,PC_CHILD,A,2016,93,
MEX,CHILDVACCIN,DTP,PC_CHILD,A,2017,85,
MEX,CHILDVACCIN,DTP,PC_CHILD,A,2018,88,
MEX,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,99,
MEX,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,97,
MEX,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,76,
MEX,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,97,
NLD,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
NLD,CHILDVACCIN,DTP,PC_CHILD,A,2016,95,
NLD,CHILDVACCIN,DTP,PC_CHILD,A,2017,94,
NLD,CHILDVACCIN,DTP,PC_CHILD,A,2018,93,
NLD,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,95,
NLD,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,94,
NLD,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,93,
NLD,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,93,
NZL,CHILDVACCIN,DTP,PC_CHILD,A,2015,92,
NZL,CHILDVACCIN,DTP,PC_CHILD,A,2016,92,
NZL,CHILDVACCIN,DTP,PC_CHILD,A,2017,94,
NZL,CHILDVACCIN,DTP,PC_CHILD,A,2018,93,
NZL,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,93,
NZL,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,92,
NZL,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,93,
NZL,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,92,
NOR,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
NOR,CHILDVACCIN,DTP,PC_CHILD,A,2016,96,
NOR,CHILDVACCIN,DTP,PC_CHILD,A,2017,96,
NOR,CHILDVACCIN,DTP,PC_CHILD,A,2018,96,
NOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,95,
NOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,96,
NOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
NOR,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,96,
POL,CHILDVACCIN,DTP,PC_CHILD,A,2015,98,
POL,CHILDVACCIN,DTP,PC_CHILD,A,2016,98,
POL,CHILDVACCIN,DTP,PC_CHILD,A,2017,96,
POL,CHILDVACCIN,DTP,PC_CHILD,A,2018,95,
POL,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,
POL,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,96,
POL,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,94,
POL,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,93,
PRT,CHILDVACCIN,DTP,PC_CHILD,A,2015,98,
PRT,CHILDVACCIN,DTP,PC_CHILD,A,2016,98,
PRT,CHILDVACCIN,DTP,PC_CHILD,A,2017,98,
PRT,CHILDVACCIN,DTP,PC_CHILD,A,2018,99,
PRT,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,98,
PRT,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,98,
PRT,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,98,
PRT,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,99,
SVK,CHILDVACCIN,DTP,PC_CHILD,A,2015,96,
SVK,CHILDVACCIN,DTP,PC_CHILD,A,2016,96,
SVK,CHILDVACCIN,DTP,PC_CHILD,A,2017,96,
SVK,CHILDVACCIN,DTP,PC_CHILD,A,2018,97,
SVK,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,95,
SVK,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,95,
SVK,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
SVK,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,96,
ESP,CHILDVACCIN,DTP,PC_CHILD,A,2015,97,
ESP,CHILDVACCIN,DTP,PC_CHILD,A,2016,97,
ESP,CHILDVACCIN,DTP,PC_CHILD,A,2017,98,
ESP,CHILDVACCIN,DTP,PC_CHILD,A,2018,93,
ESP,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,
ESP,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,97,
ESP,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
ESP,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,97,
SWE,CHILDVACCIN,DTP,PC_CHILD,A,2015,98,
SWE,CHILDVACCIN,DTP,PC_CHILD,A,2016,98,
SWE,CHILDVACCIN,DTP,PC_CHILD,A,2017,97,
SWE,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,98,
SWE,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,97,
SWE,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
SWE,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,97,
CHE,CHILDVACCIN,DTP,PC_CHILD,A,2015,96,
CHE,CHILDVACCIN,DTP,PC_CHILD,A,2016,96,
CHE,CHILDVACCIN,DTP,PC_CHILD,A,2017,97,
CHE,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,94,
CHE,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,94,
CHE,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,95,
TUR,CHILDVACCIN,DTP,PC_CHILD,A,2015,97,
TUR,CHILDVACCIN,DTP,PC_CHILD,A,2016,98,
TUR,CHILDVACCIN,DTP,PC_CHILD,A,2017,96,
TUR,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,97,
TUR,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,98,
TUR,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
GBR,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
GBR,CHILDVACCIN,DTP,PC_CHILD,A,2016,94,
GBR,CHILDVACCIN,DTP,PC_CHILD,A,2017,94,
GBR,CHILDVACCIN,DTP,PC_CHILD,A,2018,94,
GBR,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,93,
GBR,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,92,
GBR,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,92,
GBR,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,92,
USA,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
USA,CHILDVACCIN,DTP,PC_CHILD,A,2016,95,
USA,CHILDVACCIN,DTP,PC_CHILD,A,2017,95,
USA,CHILDVACCIN,DTP,PC_CHILD,A,2018,94,
USA,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,92,
USA,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,92,
USA,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,92,
USA,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,92,
BRA,CHILDVACCIN,DTP,PC_CHILD,A,2015,96,
BRA,CHILDVACCIN,DTP,PC_CHILD,A,2016,89,
BRA,CHILDVACCIN,DTP,PC_CHILD,A,2017,89,
BRA,CHILDVACCIN,DTP,PC_CHILD,A,2018,83,
BRA,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,
BRA,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,95,
BRA,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,97,
BRA,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,84,
CHL,CHILDVACCIN,DTP,PC_CHILD,A,2015,96,
CHL,CHILDVACCIN,DTP,PC_CHILD,A,2016,95,
CHL,CHILDVACCIN,DTP,PC_CHILD,A,2017,93,
CHL,CHILDVACCIN,DTP,PC_CHILD,A,2018,95,
CHL,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,
CHL,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,93,
CHL,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,93,
CHL,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,93,
CHN,CHILDVACCIN,DTP,PC_CHILD,A,2015,99,
CHN,CHILDVACCIN,DTP,PC_CHILD,A,2016,99,
CHN,CHILDVACCIN,DTP,PC_CHILD,A,2017,99,
CHN,CHILDVACCIN,DTP,PC_CHILD,A,2018,99,
CHN,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,99,
CHN,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,99,
CHN,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,99,
CHN,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,99,
EST,CHILDVACCIN,DTP,PC_CHILD,A,2015,93,
EST,CHILDVACCIN,DTP,PC_CHILD,A,2016,93,
EST,CHILDVACCIN,DTP,PC_CHILD,A,2017,93,
EST,CHILDVACCIN,DTP,PC_CHILD,A,2018,92,
EST,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,93,
EST,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,93,
EST,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,93,
EST,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,87,
IND,CHILDVACCIN,DTP,PC_CHILD,A,2015,87,
IND,CHILDVACCIN,DTP,PC_CHILD,A,2016,88,
IND,CHILDVACCIN,DTP,PC_CHILD,A,2017,89,
IND,CHILDVACCIN,DTP,PC_CHILD,A,2018,85,
IND,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,87,
IND,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,88,
IND,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,90,
IND,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,84,
IDN,CHILDVACCIN,DTP,PC_CHILD,A,2015,84,
IDN,CHILDVACCIN,DTP,PC_CHILD,A,2016,84,
IDN,CHILDVACCIN,DTP,PC_CHILD,A,2017,85,
IDN,CHILDVACCIN,DTP,PC_CHILD,A,2018,76,
IDN,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,87,
IDN,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,88,
IDN,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,90,
IDN,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,78,
ISR,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
ISR,CHILDVACCIN,DTP,PC_CHILD,A,2016,94,
ISR,CHILDVACCIN,DTP,PC_CHILD,A,2017,98,
ISR,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,98,
ISR,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,97,
ISR,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,98,
RUS,CHILDVACCIN,DTP,PC_CHILD,A,2015,97,
RUS,CHILDVACCIN,DTP,PC_CHILD,A,2016,97,
RUS,CHILDVACCIN,DTP,PC_CHILD,A,2017,97,
RUS,CHILDVACCIN,DTP,PC_CHILD,A,2018,97,
RUS,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,98,
RUS,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,98,
RUS,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,98,
RUS,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,98,
SVN,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
SVN,CHILDVACCIN,DTP,PC_CHILD,A,2016,94,
SVN,CHILDVACCIN,DTP,PC_CHILD,A,2017,94,
SVN,CHILDVACCIN,DTP,PC_CHILD,A,2018,93,
SVN,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,94,
SVN,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,92,
SVN,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,93,
SVN,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,93,
ZAF,CHILDVACCIN,DTP,PC_CHILD,A,2015,93,
ZAF,CHILDVACCIN,DTP,PC_CHILD,A,2016,84,
ZAF,CHILDVACCIN,DTP,PC_CHILD,A,2017,84,
ZAF,CHILDVACCIN,DTP,PC_CHILD,A,2018,82,
ZAF,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,97,
ZAF,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,96,
ZAF,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,81,
ZAF,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,81,
COL,CHILDVACCIN,DTP,PC_CHILD,A,2015,91,
COL,CHILDVACCIN,DTP,PC_CHILD,A,2016,91,
COL,CHILDVACCIN,DTP,PC_CHILD,A,2017,92,
COL,CHILDVACCIN,DTP,PC_CHILD,A,2018,92,
COL,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,94,
COL,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,93,
COL,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,93,
CRI,CHILDVACCIN,DTP,PC_CHILD,A,2015,92,
CRI,CHILDVACCIN,DTP,PC_CHILD,A,2016,97,
CRI,CHILDVACCIN,DTP,PC_CHILD,A,2017,96,
CRI,CHILDVACCIN,DTP,PC_CHILD,A,2018,94,
CRI,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,93,
CRI,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,93,
CRI,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
CRI,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,94,
LVA,CHILDVACCIN,DTP,PC_CHILD,A,2015,95,
LVA,CHILDVACCIN,DTP,PC_CHILD,A,2016,98,
LVA,CHILDVACCIN,DTP,PC_CHILD,A,2017,98,
LVA,CHILDVACCIN,DTP,PC_CHILD,A,2018,96,
LVA,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,96,
LVA,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,93,
LVA,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,96,
LVA,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,98,
LTU,CHILDVACCIN,DTP,PC_CHILD,A,2015,93,
LTU,CHILDVACCIN,DTP,PC_CHILD,A,2016,94,
LTU,CHILDVACCIN,DTP,PC_CHILD,A,2017,94,
LTU,CHILDVACCIN,DTP,PC_CHILD,A,2018,92,
LTU,CHILDVACCIN,MEASLES,PC_CHILD,A,2015,94,
LTU,CHILDVACCIN,MEASLES,PC_CHILD,A,2016,94,
LTU,CHILDVACCIN,MEASLES,PC_CHILD,A,2017,94,
LTU,CHILDVACCIN,MEASLES,PC_CHILD,A,2018,92,
